folder,dbscan_eps,cluster_keep_ratio,sparse_percentile,residual_threshold,score,fit_ratio,coverage,hough_count,mesh_count
Data/TestData2,0.24,0.35,85,0.1,-0.08564577136583987,0.5297757363602463,0.22,40203,43068
Data/TestData2,0.24,0.35,90,0.06,-0.13441897795538915,0.5162784954532474,0.18,28833,42476
Data/TestData2,0.24,0.35,90,0.08,-0.13441897795538915,0.5162784954532474,0.18,28833,42476
Data/TestData2,0.24,0.35,90,0.1,-0.13441897795538915,0.5162784954532474,0.18,28833,42476
Data/TestData2,0.24,0.35,95,0.06,-0.16778921030411023,0.4957089072244458,0.16,15046,41588
Data/TestData2,0.24,0.35,95,0.08,-0.16778921030411023,0.4957089072244458,0.16,15046,41588
Data/TestData2,0.24,0.35,95,0.1,-0.16778921030411023,0.4957089072244458,0.16,15046,41588
Data/TestData3,0.12,0.15,85,0.06,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.15,85,0.08,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.15,85,0.1,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.15,90,0.06,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.15,90,0.08,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.15,90,0.1,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.15,95,0.06,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.15,95,0.08,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.15,95,0.1,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.25,85,0.06,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.25,85,0.08,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.25,85,0.1,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.25,90,0.06,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.25,90,0.08,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.25,90,0.1,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.25,95,0.06,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.25,95,0.08,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.25,95,0.1,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.35,85,0.06,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.35,85,0.08,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.35,85,0.1,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.12,0.35,90,0.06,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.35,90,0.08,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.35,90,0.1,0.18515273067887475,1.2843804143401927,0.37,12278,28080
Data/TestData3,0.12,0.35,95,0.06,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.35,95,0.08,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.12,0.35,95,0.1,0.14805799822124785,1.1722184642750033,0.26,7050,26880
Data/TestData3,0.18,0.15,85,0.06,0.19699102302990268,1.2661676568770728,0.37,16941,27960
Data/TestData3,0.18,0.15,85,0.08,0.19699102302990268,1.2661676568770728,0.37,16941,27960
